序,地區,認證別,單位名稱,餐廳名稱,性質,電話,地址,經度坐標,緯度坐標,認證單位,備註
11,臺北市       Taipei City,MR,-,"加禾堂附設餐飲店
Toko Sakura (Grand Mosque)           (7-8張桌子，約容納20人) (Maximum 20 P)",印尼小吃          Indonesian Snacks,-7518,"臺北市大安區新生南路2段74號1樓            1F., No. 74, Sec. 2, Xinsheng S. Rd., Da'an Dist., Taipei City, Taiwan (R.O.C.) ",121.534477,25.0275299,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
12,臺北市       Taipei City,MR,-,加祿堂附設餐飲店                    Toko Sakura           (7-8張桌子，約容納20人) (Maximum 20 P),印尼小吃             Indonesian Snacks,-5245,"臺北市大安區辛亥路1段27號1樓                1F., No. 27, Sec. 1, Xinhai Rd., Da'an Dist., Taipei City, Taiwan (R.O.C.) ",121.543639,25.021604,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
13,臺北市       Taipei City,MR,-,莎堤亞印度料理     Saathiya Indian Cuisine,印度料理           Indian Food,-3972,"臺北市大安區信義路二段195號2樓    2F., No.195, Sec. 2, Xinyi Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",121.529745,25.033975,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
14,臺北市       Taipei City,MR,-,阿巴得印度廚房       ABAD Indian Kitchen,印度料理           Indian Food,-2102,"臺北市松山區光復北路130號                   No.130, Guangfu N. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",121.5570881,25.0519616,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
15,臺北市       Taipei City,MR,-,張家清真黃牛肉麵館                    Chang Beef Noodle Shop,中式麵食        Chinese Noodles,-4238,"臺北市中正區延平南路21號                     No. 21, Yanping S. Rd., Zhongzheng Dist., Taipei City, Taiwan (R.O.C.) ",121.510765,25.045725,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
16,臺北市       Taipei City,MR,,"酷思多披薩
Gusto Pizza","義大利餐廳 
Italian",-8475,"臺北市中正區連雲街74-1號(近捷運東門站7號出口)
No.74-1, Lianyun St., Zhongzheng Dist., Taipei City, Taiwan (R.O.C.)
(Near MRT Dongmen Station exit no.7)",121.5300761,25.034655,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
17,"臺北市
Taipei City",MR,,"回館回回私家菜
Hui Guan Restaurant","中式料理
Chinese Cuisine",-11544,"台北市松山區八德路三段12巷51弄9號
No.9, Aly. 51, Ln. 12, Sec. 3, Bade Rd., Songshan Dist., Taipei City, Taiwan",121.5511075,25.046282,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
18,臺北市       Taipei City,MFR,-,真的好海鮮餐廳  Really Good Seafood,"海鮮餐
Seafood",-4887,"臺北市大安區復興南路1段222號                No. 222, Sec. 1, Fuxing S. Rd., Da' an Dist., Taipei City, Taiwan (R.O.C.) ",121.5431577,25.0218218,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
19,臺北市       Taipei City,MFR,"永康餐飲股份有限公司
FnB Gourmet Group Corporation Limited","冰館 
Ice Monster","冰品/甜點
Shaved Ice/Desserts",-11150,"臺北市大安區忠孝東路四段297號                No. 297, Sec. 4, Zhongxiao E. Rd., Da' an Dist., Taipei City, Taiwan (R.O.C.)",121.5551631,25.0415773,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
20,臺北市       Taipei City,MFR,-,故宮晶華餐廳 Silks Palace,臺灣經典小吃Taiwanese Snacks,-11391,"臺北巿士林區至善路2段221號             No.221, Sec. 2, Zhishan Rd., Shilin Dist., Taipei City, Taiwan (R.O.C.)",121.5496498,25.1004238,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
21,臺北市       Taipei City,MFR,-,頂鮮101美食美景餐廳   Dingxian101,"海鮮餐
Seafood",886,"臺北市信義區信義路5段7號 (臺北101大樓) 86樓                                                      86F., No.7, Sec. 5, Xinyi Rd., Xinyi Dist., Taipei City, Taiwan (R.O.C.)",121.5648114,25.0335359,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
22,臺北市       Taipei City,MFR,"超秦集團-揚秦國際企業股份有限公司                          YOUNG QIN INTERNATIONAL CO.,LTD.",炸雞大獅-北市南港                             Fried Chicken Master- Nangang Branch,炸雞&飲料         Fried Chicken & Beverage        ,-9840,"臺北市南港區經貿二路1號                  No.1, Jingmao 2nd Rd., Nangang Dist., Taipei City, Taiwan (R.O.C.)",121.61759,25.0560908,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
23,臺北市       Taipei City,MFR,"超秦集團-揚秦國際企業股份有限公司                          YOUNG QIN INTERNATIONAL CO.,LTD.",炸雞大獅-北市公館                      Fried Chicken Master-Gongguan Branch,炸雞&飲料         Fried Chicken & Beverage        ,-4035,"台北市中正區汀洲路三段158號           No.158, Sec. 3, Tingzhou Rd., Zhongzheng Dist., Taipei City, Taiwan (R.O.C.)",121.534286,25.0135419,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
24,臺北市       Taipei City,MFR,"遠東國際大飯店 
Shangri-La's Far Eastern Plaza Hotel","馬可波羅餐廳  
Marco Polo Restaurant","義大利餐廳 
Italian",-8907,"臺北市大安區敦化南路二段201號(近捷運六張犁站)
No.201, Sec. 2, Dunhua S. Rd, Daan Dist, Taipei City, Taiwan
(Near MRT Liuzhangli Station)",121.5518525,25.023768,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
25,"臺北市
Taipei City",MFR,-,"蘋果圈圈創意餐飲
Apple Caf?","中/西式簡餐
Chinese/Western meal
",-3631,"台北市中山區南京東路三段109巷3號(近捷運南晶復興站8號出口)
No.3, Ln. 109, Sec. 3, Nanjing E. Rd., Zhongshan Dist., Taipei, Taiwan 
(Near MRT Nanjing Fuxing Station exit no.8)",121.5448782,25.0517019,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
26,臺北市       Taipei City,MFR MFT,"城市商旅南東館 
City Suites Taipei Nandong",馬迪諾         Maduro,中西團餐/早餐/住宿  Both Chinese & Western Group Meals & Breakfast & Accommodation,-7746,"臺北市松山區南京東路5段411號       No. 411, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei City, Taiwan (R.O.C.) ",121.5699586,25.051548,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
27,臺北市       Taipei City,MFR MFT,"臺北君品大酒店(5星級) 
Palais De Chine Hotel Taipei (5 Star)",頤宮中餐廳Le Palais/                 雲軒西餐廳 La Rotisserie,中西式套餐/早餐/住宿Both Chinese & Western Group Meals & Breakfast & Accommodation,-11247,"臺北市大同區承德路1段3號 
No. 3, Sec. 1, Chengde Rd., Datong Dist., Taipei City, Taiwan (R.O.C.) ",121.5168741,25.0494693,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
28,臺北市       Taipei City,MFR MFT,臺北國賓大飯店(5星級)          Amabassdor Hotel Taipei (5 Star),"阿眉咖啡廳
Ahmi caf?","西式套餐/早餐/住宿Western Set Meals/Breakfast/
Accommodation",-2778,"臺北市中山區中山北路2段63號 
No. 62, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City, Taiwan (R.O.C.)",121.52313,25.056582,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
29,臺北市       Taipei City,MFR MFT,"熱海大飯店 (3星級) 
Atami Hotel (3 Star)",榮華廳             Zolang Hung Mall,中西式套餐/早餐/住宿Both Chinese & Western Group Meals & Breakfast & Accommodation,-7168,"臺北市北投區光明路258號
No. 258, Guangming Rd., Beitou Dist., Taipei City, Taiwan (R.O.C.)",121.5092275,25.1365758,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
30,臺北市       Taipei City,MFR           MFT         ,"臺北西門町意舍
Amba Taipei Ximending",吃吧                      Chiba,"西式套餐/早餐/住宿Western Set Meals/Breakfast/
Accommodation",-6602,"臺北市萬華區武昌街2段77號5樓
5F., No.77, Sec. 2, Wuchang St., Wanhua Dist., Taipei City, Taiwan (R.O.C.)",121.5055717,25.0451617,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
